Mensagem Anterior,Data,Mensagem Cliente 1,Mensagem Cliente 2,Mensagem Cliente 3,Mensagem Cliente 4,Mensagem Cliente 5,Mensagem Cliente 6,Mensagem Cliente 7,Status,ADCCID,Service,Concatenacao
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.",12/14/2022 10:06,,,,,,,,,1c107b11-c987-4ef0-8272-eb11abb1d858,111828083,          
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.",12/14/2022 11:18,,,,,,,,,d94522cb-c0da-460c-b15d-a25138e071ef,312136945,          
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.",12/14/2022 11:46,Preciso urgente da internet,"Preciso urgente, trabalho com a internet de Home office",Quero telefone pra ligar,,,,,,6a521605-facc-4a11-8317-c751675fe12b,262173992,"Preciso urgente da internet Preciso urgente, trabalho com a internet de Home office Quero telefone pra ligar        "
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.",12/14/2022 16:18,,,,,,,,,aba67204-f7af-4b0d-a268-fedbf6366c7a,344336612,          
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.",12/14/2022 16:46,,,,,,,,,4250e9ad-c0b0-43b2-9ea4-09e4e0b1bf9c,293727949,          
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.",12/14/2022 16:50,,,,,,,,,a04ba539-308a-4d99-a10f-f61cbf456314,330737897,          
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.",12/14/2022 20:17,,,,,,,,,39174d58-73f0-4403-8c13-7a28f684fb2c,342442938,          
"Vi que você já possui um bilhete de defeito aberto com a gente. 

Mas não se preocupe, ele já está sendo tratado e em breve você receberá informações sobre o andamento do seu atendimento.",12/14/2022 21:52,,,,,,,,,ad2e9ca4-1fe2-46c6-bc19-a44ec4437091,115254850,          
"Ops não conseguimos seguir com a sua solicitação, nesse caso você precisa entrar em contato com a nossa central de atendimento.

Os telefones são: 
*Live TIM*: 10341
*Móvel TIM*: 1056

Obrigada",12/14/2022 4:03,Oi,,,,,,,,fd3e7017-bdac-44af-b941-334d81a37c49,295425853,Oi          
"Ops não conseguimos seguir com a sua solicitação, nesse caso você precisa entrar em contato com a nossa central de atendimento.

Os telefones são: 
*Live TIM*: 10341
*Móvel TIM*: 1056

Obrigada",12/14/2022 5:03,,,,,,,,,c07302b7-8705-4337-a320-576df56286a3,266126554,          
"Ops não conseguimos seguir com a sua solicitação, nesse caso você precisa entrar em contato com a nossa central de atendimento.

Os telefones são: 
*Live TIM*: 10341
*Móvel TIM*: 1056

Obrigada",12/14/2022 6:03,,,,,,,,,6356f3f6-a4be-4c3b-9dca-e5debcd51207,348800081,          
"Ops não conseguimos seguir com a sua solicitação, nesse caso você precisa entrar em contato com a nossa central de atendimento.

Os telefones são: 
*Live TIM*: 10341
*Móvel TIM*: 1056

Obrigada",12/14/2022 7:50,Oi,Oi,,,,,,,85d06cf5-3c34-4c6e-929c-1aa3ff1f7330,345036219,Oi Oi         
"Ops não conseguimos seguir com a sua solicitação, nesse caso você precisa entrar em contato com a nossa central de atendimento.

Os telefones são: 
*Live TIM*: 10341
*Móvel TIM*: 1056

Obrigada",12/14/2022 8:03,,,,,,,,,a8a7f30a-f689-4925-a476-e6b0f4799949,341032423,          
"Ops não conseguimos seguir com a sua solicitação, nesse caso você precisa entrar em contato com a nossa central de atendimento.

Os telefones são: 
*Live TIM*: 10341
*Móvel TIM*: 1056

Obrigada",12/14/2022 10:09,Ok,,,,,,,,2cb55931-ef95-4171-a52a-d8a44a10c4a1,101256891,Ok          
"Ops não conseguimos seguir com a sua solicitação, nesse caso você precisa entrar em contato com a nossa central de atendimento.

Os telefones são: 
*Live TIM*: 10341
*Móvel TIM*: 1056

Obrigada",12/14/2022 11:03,,,,,,,,,ef754c90-0f61-4b2d-aa7d-f0ad6de28f7c,345796591,          
"Ops não conseguimos seguir com a sua solicitação, nesse caso você precisa entrar em contato com a nossa central de atendimento.

Os telefones são: 
*Live TIM*: 10341
*Móvel TIM*: 1056

Obrigada",12/14/2022 11:03,,,,,,,,,1ac042e1-b76c-40cc-bb2b-0b07ae7d9c06,105921352,          
"Ops não conseguimos seguir com a sua solicitação, nesse caso você precisa entrar em contato com a nossa central de atendimento.

Os telefones são: 
*Live TIM*: 10341
*Móvel TIM*: 1056

Obrigada",12/14/2022 11:03,0,,,,,,,,ca0ad46e-ae75-49e8-ace2-caeb722cc398,176554858,0
"Ops não conseguimos seguir com a sua solicitação, nesse caso você precisa entrar em contato com a nossa central de atendimento.

Os telefones são: 
*Live TIM*: 10341
*Móvel TIM*: 1056

Obrigada",12/14/2022 12:03,,,,,,,,,f0d1c73b-f563-4bcd-b8de-2711e2206132,276826869,          
"Ops não conseguimos seguir com a sua solicitação, nesse caso você precisa entrar em contato com a nossa central de atendimento.

Os telefones são: 
*Live TIM*: 10341
*Móvel TIM*: 1056

Obrigada",12/14/2022 13:03,,,,,,,,,fc2d56c4-d6b1-43db-912c-120d458eebcb,266031470,          
